SAT Frequency 
[1] 1291
    SAT         SATF
0.5343   1 0.0005274262
0.5353   1 0.0005274262
0.5362   1 0.0005274262
0.5365   1 0.0005274262
0.5366   1 0.0005274262
0.537    1 0.0005274262
0.5374   1 0.0005274262
0.538    1 0.0005274262
0.5381   2 0.0010548523
0.5382   1 0.0005274262
0.5385   2 0.0010548523
0.5392   1 0.0005274262
0.5397   1 0.0005274262
0.5398   1 0.0005274262
0.5401   1 0.0005274262
0.5407   1 0.0005274262
0.5408   1 0.0005274262
0.5412   1 0.0005274262
0.5419   1 0.0005274262
0.542    1 0.0005274262
0.5421   2 0.0010548523
0.5429   2 0.0010548523
0.5441   1 0.0005274262
0.5443   1 0.0005274262
0.5444   1 0.0005274262
0.5445   1 0.0005274262
0.5449   1 0.0005274262
0.5464   2 0.0010548523
0.5466   1 0.0005274262
0.547    1 0.0005274262
0.5475   1 0.0005274262
0.548    2 0.0010548523
0.5486   1 0.0005274262
0.5487   1 0.0005274262
0.5493   2 0.0010548523
0.5494   2 0.0010548523
0.5496   1 0.0005274262
0.55     1 0.0005274262
0.5502   1 0.0005274262
0.5505   1 0.0005274262
0.5506   1 0.0005274262
0.5509   1 0.0005274262
0.5512   1 0.0005274262
0.5516   1 0.0005274262
0.5522   1 0.0005274262
0.5523   1 0.0005274262
0.5526   1 0.0005274262
0.5531   1 0.0005274262
0.5536   1 0.0005274262
0.5543   1 0.0005274262
0.5545   2 0.0010548523
0.555    1 0.0005274262
0.5553   1 0.0005274262
0.5556   2 0.0010548523
0.5561   1 0.0005274262
0.5565   2 0.0010548523
0.5572   1 0.0005274262
0.5573   1 0.0005274262
0.5575   1 0.0005274262
0.5576   1 0.0005274262
0.5579   1 0.0005274262
0.5587   1 0.0005274262
0.5592   1 0.0005274262
0.5608   1 0.0005274262
0.5613   2 0.0010548523
0.5622   1 0.0005274262
0.5628   1 0.0005274262
0.5632   1 0.0005274262
0.5633   1 0.0005274262
0.5635   1 0.0005274262
0.5639   1 0.0005274262
0.5646   1 0.0005274262
0.5652   1 0.0005274262
0.5654   1 0.0005274262
0.5655   1 0.0005274262
0.5662   1 0.0005274262
0.5664   1 0.0005274262
0.5665   1 0.0005274262
0.5667   1 0.0005274262
0.5668   1 0.0005274262
0.568    1 0.0005274262
0.5681   1 0.0005274262
0.5682   1 0.0005274262
0.5687   1 0.0005274262
0.5689   1 0.0005274262
0.5695   1 0.0005274262
0.5696   1 0.0005274262
0.5697   1 0.0005274262
0.5701   2 0.0010548523
0.5709   1 0.0005274262
0.5714   1 0.0005274262
0.5715   1 0.0005274262
0.5724   1 0.0005274262
0.5727   1 0.0005274262
0.5734   1 0.0005274262
0.5736   2 0.0010548523
0.5745   1 0.0005274262
0.5746   1 0.0005274262
0.5747   2 0.0010548523
0.5757   1 0.0005274262
0.576    1 0.0005274262
0.5761   1 0.0005274262
0.5764   2 0.0010548523
0.5766   2 0.0010548523
0.5778   1 0.0005274262
0.5782   1 0.0005274262
0.5784   1 0.0005274262
0.5785   1 0.0005274262
0.5787   1 0.0005274262
0.5791   1 0.0005274262
0.5795   1 0.0005274262
0.58     1 0.0005274262
0.5803   1 0.0005274262
0.5804   1 0.0005274262
0.5806   1 0.0005274262
0.5813   1 0.0005274262
0.5815   1 0.0005274262
0.5816   1 0.0005274262
0.5818   1 0.0005274262
0.582    1 0.0005274262
0.5823   1 0.0005274262
0.5831   1 0.0005274262
0.5834   1 0.0005274262
0.5836   1 0.0005274262
0.5837   2 0.0010548523
0.5838   3 0.0015822785
0.5841   1 0.0005274262
0.5845   1 0.0005274262
0.5846   1 0.0005274262
0.5848   1 0.0005274262
0.5851   1 0.0005274262
0.5857   1 0.0005274262
0.5858   1 0.0005274262
0.5859   2 0.0010548523
0.5861   1 0.0005274262
0.5862   1 0.0005274262
0.5866   1 0.0005274262
0.5867   2 0.0010548523
0.5871   1 0.0005274262
0.5873   1 0.0005274262
0.5875   1 0.0005274262
0.588    1 0.0005274262
0.5882   1 0.0005274262
0.5883   1 0.0005274262
0.5889   1 0.0005274262
0.5895   1 0.0005274262
0.5898   2 0.0010548523
0.59     1 0.0005274262
0.5902   1 0.0005274262
0.5903   1 0.0005274262
0.5907   2 0.0010548523
0.5908   1 0.0005274262
0.5917   1 0.0005274262
0.5919   1 0.0005274262
0.5923   1 0.0005274262
0.5924   1 0.0005274262
0.5925   1 0.0005274262
0.5926   1 0.0005274262
0.593    1 0.0005274262
0.5931   1 0.0005274262
0.5932   1 0.0005274262
0.5939   1 0.0005274262
0.594    1 0.0005274262
0.5945   1 0.0005274262
0.5951   1 0.0005274262
0.5953   1 0.0005274262
0.5959   2 0.0010548523
0.5961   1 0.0005274262
0.5967   1 0.0005274262
0.5969   2 0.0010548523
0.5977   1 0.0005274262
