SAT Frequency 
[1] 1263
    SAT         SATF
0.6284   1 0.0005167959
0.6287   1 0.0005167959
0.6289   2 0.0010335917
0.629    1 0.0005167959
0.6291   1 0.0005167959
0.6299   2 0.0010335917
0.63     1 0.0005167959
0.6303   1 0.0005167959
0.6305   1 0.0005167959
0.6307   1 0.0005167959
0.631    1 0.0005167959
0.6312   1 0.0005167959
0.6314   2 0.0010335917
0.6316   1 0.0005167959
0.6317   1 0.0005167959
0.6318   1 0.0005167959
0.6321   1 0.0005167959
0.6322   2 0.0010335917
0.6325   2 0.0010335917
0.6327   1 0.0005167959
0.6329   2 0.0010335917
0.6331   1 0.0005167959
0.6332   2 0.0010335917
0.634    1 0.0005167959
0.6341   1 0.0005167959
0.6344   1 0.0005167959
0.6348   1 0.0005167959
0.635    1 0.0005167959
0.6355   2 0.0010335917
0.6364   2 0.0010335917
0.6365   1 0.0005167959
0.6366   1 0.0005167959
0.6368   1 0.0005167959
0.6369   1 0.0005167959
0.6371   1 0.0005167959
0.6375   1 0.0005167959
0.6376   1 0.0005167959
0.6382   1 0.0005167959
0.6384   1 0.0005167959
0.6387   1 0.0005167959
0.6392   2 0.0010335917
0.6398   2 0.0010335917
0.6402   3 0.0015503876
0.6403   1 0.0005167959
0.6406   2 0.0010335917
0.6408   1 0.0005167959
0.6409   2 0.0010335917
0.641    3 0.0015503876
0.6411   1 0.0005167959
0.6412   1 0.0005167959
0.6413   1 0.0005167959
0.6418   2 0.0010335917
0.6422   1 0.0005167959
0.6426   1 0.0005167959
0.6428   1 0.0005167959
0.6429   1 0.0005167959
0.643    2 0.0010335917
0.6432   2 0.0010335917
0.6433   1 0.0005167959
0.6435   2 0.0010335917
0.6436   1 0.0005167959
0.6438   1 0.0005167959
0.6439   1 0.0005167959
0.6447   1 0.0005167959
0.6448   1 0.0005167959
0.6452   1 0.0005167959
0.6453   2 0.0010335917
0.6456   2 0.0010335917
0.6461   1 0.0005167959
0.6462   1 0.0005167959
0.6471   1 0.0005167959
0.6473   1 0.0005167959
0.6475   2 0.0010335917
0.6478   1 0.0005167959
0.6482   2 0.0010335917
0.6483   1 0.0005167959
0.6488   2 0.0010335917
0.6497   2 0.0010335917
0.6499   1 0.0005167959
0.65     1 0.0005167959
0.6508   1 0.0005167959
0.6509   1 0.0005167959
0.6514   1 0.0005167959
0.6515   1 0.0005167959
0.6518   1 0.0005167959
0.6523   1 0.0005167959
0.6526   1 0.0005167959
0.653    1 0.0005167959
0.6531   1 0.0005167959
0.6542   1 0.0005167959
0.6544   1 0.0005167959
0.6546   1 0.0005167959
0.655    1 0.0005167959
0.6552   1 0.0005167959
0.6557   1 0.0005167959
0.656    2 0.0010335917
0.6563   4 0.0020671835
0.6566   1 0.0005167959
0.6568   1 0.0005167959
0.6569   1 0.0005167959
0.6574   1 0.0005167959
0.6575   1 0.0005167959
0.6576   2 0.0010335917
0.6578   1 0.0005167959
0.6591   1 0.0005167959
0.6593   2 0.0010335917
0.6602   1 0.0005167959
0.6603   1 0.0005167959
0.6605   1 0.0005167959
0.661    1 0.0005167959
0.6626   1 0.0005167959
0.6627   1 0.0005167959
0.6628   1 0.0005167959
0.6632   2 0.0010335917
0.6634   1 0.0005167959
0.664    1 0.0005167959
0.6641   1 0.0005167959
0.6645   1 0.0005167959
0.6647   3 0.0015503876
0.6648   2 0.0010335917
0.6655   2 0.0010335917
0.6656   1 0.0005167959
0.6659   1 0.0005167959
0.6661   1 0.0005167959
0.6667   2 0.0010335917
0.6672   1 0.0005167959
0.6673   1 0.0005167959
0.6682   2 0.0010335917
0.6687   1 0.0005167959
0.6694   1 0.0005167959
0.6696   1 0.0005167959
0.6697   2 0.0010335917
0.6701   1 0.0005167959
0.6704   1 0.0005167959
