"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"6630","Evans Hairstyling College-Rexburg","Rexburg","ID","83440","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6631","Paul Mitchell the School-Rexburg","Rexburg","ID","83440","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6632","University of Aesthetics-Chicago","Chicago","IL","60622-2151","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6633","The University of Aesthetics & Cosmetology","Downers Grove","IL","60515","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6634","Tricoci University of Beauty Culture-Chicago NW","Chicago","IL","60656","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6635","Tricoci University of Beauty Culture-Glendale Heights","Glendale Heights","IL","60139","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6636","Tricoci University of Beauty Culture-Peoria","Peoria","IL","61614","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6637","Tricoci University of Beauty Culture-Rockford","Rockford","IL","61108","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6638","Frederick School of Cosmetology","Frederick","MD","21701","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6639","Omega Studios' School of Applied Recording Arts & Sciences","Rockville","MD","20852","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6640","Focus-Hope Information Technologies Center","Detroit","MI","48238","NULL","NULL","NULL","NULL","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6641","International Cosmetology Academy","Grand Rapids","MI","49508","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
