SAT Frequency 
[1] 1286
    SAT        SATF
0.5863   1 0.0005149331
0.5869   1 0.0005149331
0.5874   1 0.0005149331
0.5877   2 0.0010298661
0.588    1 0.0005149331
0.5882   1 0.0005149331
0.5883   1 0.0005149331
0.5885   2 0.0010298661
0.5888   1 0.0005149331
0.5889   1 0.0005149331
0.5896   1 0.0005149331
0.5901   1 0.0005149331
0.5902   1 0.0005149331
0.5905   1 0.0005149331
0.5908   1 0.0005149331
0.5909   2 0.0010298661
0.5914   1 0.0005149331
0.5919   1 0.0005149331
0.5921   1 0.0005149331
0.5922   1 0.0005149331
0.5923   1 0.0005149331
0.5924   1 0.0005149331
0.5933   1 0.0005149331
0.5942   1 0.0005149331
0.5952   1 0.0005149331
0.5954   1 0.0005149331
0.5956   1 0.0005149331
0.5957   1 0.0005149331
0.5959   1 0.0005149331
0.596    1 0.0005149331
0.5962   1 0.0005149331
0.5965   1 0.0005149331
0.5966   1 0.0005149331
0.5972   1 0.0005149331
0.5977   1 0.0005149331
0.5978   1 0.0005149331
0.5979   1 0.0005149331
0.5985   1 0.0005149331
0.6      2 0.0010298661
0.6006   1 0.0005149331
0.6012   1 0.0005149331
0.6013   1 0.0005149331
0.6018   1 0.0005149331
0.6022   1 0.0005149331
0.6025   1 0.0005149331
0.6035   2 0.0010298661
0.6036   1 0.0005149331
0.6038   1 0.0005149331
0.6041   1 0.0005149331
0.6043   1 0.0005149331
0.6046   1 0.0005149331
0.6047   1 0.0005149331
0.6049   1 0.0005149331
0.6054   2 0.0010298661
0.6058   1 0.0005149331
0.606    1 0.0005149331
0.6065   1 0.0005149331
0.6066   2 0.0010298661
0.6068   1 0.0005149331
0.6074   1 0.0005149331
0.6076   1 0.0005149331
0.6081   1 0.0005149331
0.6085   1 0.0005149331
0.6086   1 0.0005149331
0.6089   2 0.0010298661
0.6092   1 0.0005149331
0.6101   1 0.0005149331
0.6103   1 0.0005149331
0.6104   3 0.0015447992
0.6105   1 0.0005149331
0.6106   1 0.0005149331
0.6108   1 0.0005149331
0.6111   1 0.0005149331
0.6123   1 0.0005149331
0.6126   2 0.0010298661
0.6128   1 0.0005149331
0.6133   1 0.0005149331
0.6135   1 0.0005149331
0.6138   1 0.0005149331
0.6139   2 0.0010298661
0.6141   1 0.0005149331
0.6144   1 0.0005149331
0.6145   1 0.0005149331
0.6147   1 0.0005149331
0.6148   2 0.0010298661
0.6149   1 0.0005149331
0.615    1 0.0005149331
0.6152   1 0.0005149331
0.6153   2 0.0010298661
0.6154   1 0.0005149331
0.6155   1 0.0005149331
0.6167   2 0.0010298661
0.6176   1 0.0005149331
0.6178   2 0.0010298661
0.6179   1 0.0005149331
0.6192   1 0.0005149331
0.6193   1 0.0005149331
0.6194   1 0.0005149331
0.6197   2 0.0010298661
0.6203   1 0.0005149331
0.6205   1 0.0005149331
0.6207   1 0.0005149331
0.6208   1 0.0005149331
0.6213   1 0.0005149331
0.6214   1 0.0005149331
0.6215   2 0.0010298661
0.6218   1 0.0005149331
0.6222   1 0.0005149331
0.6225   1 0.0005149331
0.6228   1 0.0005149331
0.6229   1 0.0005149331
0.6231   1 0.0005149331
0.6232   1 0.0005149331
0.6233   2 0.0010298661
0.6236   1 0.0005149331
0.6238   1 0.0005149331
0.624    1 0.0005149331
0.6242   1 0.0005149331
0.6249   1 0.0005149331
0.625    2 0.0010298661
0.6255   1 0.0005149331
0.6256   1 0.0005149331
0.6259   1 0.0005149331
0.626    1 0.0005149331
0.6262   1 0.0005149331
0.6265   1 0.0005149331
0.6272   1 0.0005149331
0.6276   1 0.0005149331
0.6281   1 0.0005149331
0.6282   2 0.0010298661
0.6283   1 0.0005149331
0.6284   1 0.0005149331
0.6289   2 0.0010298661
0.629    1 0.0005149331
0.6291   1 0.0005149331
0.6293   1 0.0005149331
0.6296   1 0.0005149331
0.6301   1 0.0005149331
0.6303   1 0.0005149331
0.6306   1 0.0005149331
0.6309   1 0.0005149331
0.6312   1 0.0005149331
0.6315   3 0.0015447992
0.6318   1 0.0005149331
0.6319   1 0.0005149331
0.6323   1 0.0005149331
0.6324   2 0.0010298661
0.6327   1 0.0005149331
0.6328   1 0.0005149331
0.633    1 0.0005149331
0.6333   1 0.0005149331
0.6334   2 0.0010298661
0.634    1 0.0005149331
0.6343   1 0.0005149331
0.6347   1 0.0005149331
0.6348   1 0.0005149331
0.6351   1 0.0005149331
0.6352   1 0.0005149331
0.6355   2 0.0010298661
0.6357   1 0.0005149331
0.6359   1 0.0005149331
