"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"3737",3737,"South University-The Art Institute of Dallas","Dallas","TX","75231-5993","NULL","NULL","NULL","0.1091111229","0.0917",NA,NA,NA,NA,NA,NA,NA,"0.2656","NULL","NULL","NULL","NULL",1
"3742",3742,"Hallmark University","San Antonio","TX","78230-1736","NULL","NULL","NULL","0.476744186","0.1806",NA,NA,NA,NA,NA,NA,NA,"0.4826","NULL","NULL","NULL","NULL",1
"3743",3743,"Hardin-Simmons University","Abilene","TX","79698-0001","0.3759","560","25","0.4696356275","0.0119",NA,NA,"0.0925",NA,NA,"0.006",NA,"0.514","NULL","NULL","NULL","NULL",1
"3746",3746,"Houston Baptist University","Houston","TX","77074-3298","0.7318","590","26","0.3220588235",NA,NA,NA,"0.1676",NA,NA,"0.0162",NA,"0.4388","NULL","NULL","NULL","NULL",1
"3747",3747,"University of Houston-Clear Lake","Houston","TX","77058-1002","NULL","NULL","NULL","0.5834767642","0.0241","0.0058",NA,"0.0407","0.0266",NA,"0.0091",NA,"NULL","NULL","NULL","NULL","NULL",1
"3749",3749,"University of Houston-Downtown","Houston","TX","77002-1014","0.9509","510","22","0.2673888255","0.0063",NA,"0.0239","0.018","0.0084",NA,"0.0092",NA,"0.1408","NULL","NULL","NULL","NULL",1
"3750",3750,"University of Houston-Victoria","Victoria","TX","77901","0.5102","518","21","0.2378559464","0.0379",NA,NA,"0.0452","0.0131",NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"3751",3751,"University of Houston","Houston","TX","77204-2018","0.5841","640","27","0.4269041769","0.0234","0.0515","0.0415","0.064","0.0157",NA,"0.022",NA,"0.4754","NULL","NULL","NULL","NULL",1
"3753",3753,"Howard Payne University","Brownwood","TX","76801-2794","0.5382","530","23","0.3583617747",NA,NA,NA,"0.0631","0.0049",NA,"0.0194",NA,"0.4196","NULL","NULL","NULL","NULL",1
"3754",3754,"Huston-Tillotson University","Austin","TX","78702-2795","0.4589","450","17","0.0816326531","0.0331",NA,NA,"0.0744","0.0331",NA,"0.0083",NA,"0.2606","NULL","NULL","NULL","NULL",1
"3755",3755,"University of the Incarnate Word","San Antonio","TX","78209","0.9307","540","24","0.5010526316","0.0083",NA,"0.0132","0.0835","0.0107",NA,"0.0091",NA,"0.4","NULL","NULL","NULL","NULL",1
"3758",3758,"ITT Technical Institute-Arlington","Arlington","TX","76011","0.9121","NULL","NULL","0.3599931422","0.4185",NA,"0.3921",NA,NA,NA,NA,NA,"0.3409","NULL","NULL","NULL","NULL",1
"3759",3759,"ITT Technical Institute-Houston West","Houston","TX","77063-3751","0.9368","NULL","NULL","0.3599931422","0.4146",NA,"0.4669",NA,NA,NA,NA,NA,"0.5443","NULL","NULL","NULL","NULL",1
"3761",3761,"Jarvis Christian College","Hawkins","TX","75765-1470","NULL","NULL","NULL","0.1428571429",NA,NA,NA,"0.1667",NA,NA,"0.0238",NA,"0.0902","NULL","NULL","NULL","NULL",1
"3764",3764,"Lamar University","Beaumont","TX","77705","0.7682","550","NULL","0.2931541369","0.0051","0.0833","0.0226","0.019","0.0088",NA,"0.0161",NA,"0.346","NULL","NULL","NULL","NULL",1
"3769",3769,"Texas A & M International University","Laredo","TX","78041-1900","0.4785","520","22","0.407049067",NA,"0.014",NA,"0.0677","0.0064",NA,"0.0026",NA,"0.4298","NULL","NULL","NULL","NULL",1
